Feature,Importance
Avg_Spent,0.13176793818515903
Total_Spent,0.1272490174941757
LoginFrequency,0.12069104449848402
Std_Spent,0.1137886252099753
DaysSinceLastLogin,0.1107383458083863
Age,0.10280424165841699
Transaction_Count,0.05399596165063249
MaritalStatus_Enc,0.03842577561878405
IncomeLevel_Enc,0.038405137746040055
Product_Diversity,0.036602290622719205
ServiceUsage_Enc,0.03217931858289616
Total_Interactions,0.0289811356701829
Unresolved_Ratio,0.02416492927964416
Gender_Enc,0.020886004685519845
Unresolved_Count,0.019320233288983857
